Hashes	sum.taxonomy
merged_vp2_Metazoa_16s_168	Eukaryota;Chordata;Mammalia;Rodentia;Heteromyidae;Dipodomys;
merged_vp2_Metazoa_16s_364	Eukaryota;Chordata;Mammalia;Rodentia;Heteromyidae;Chaetodipus;
merged_vp2_Metazoa_16s_152	Eukaryota;Chordata;Mammalia;Rodentia;Geomyidae;;
merged_vp2_Metazoa_16s_498	Eukaryota;Chordata;Mammalia;Rodentia;Cricetidae;;
forward_vp2_Metazoa_16s_452	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Pan;Pan troglodytes
merged_vp2_Metazoa_16s_250	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Pan;Pan troglodytes
forward_vp2_Metazoa_16s_6	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_33	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_39	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_44	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_72	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_85	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_96	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_97	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_117	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_177	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_223	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_305	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_306	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_307	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_308	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_309	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_310	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_435	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_440	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_441	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_442	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_443	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_444	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_445	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_446	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_447	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_448	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_449	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_450	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_451	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_453	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_454	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_455	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_456	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_457	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_459	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_598	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_639	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_679	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_714	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_6	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_26	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_49	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_61	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_82	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_115	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_128	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_129	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
