Sample_name	Field_sample_name	Field_sample_name	Pool	Pool_collapse	Time_point	Presence_in_net	Pool_location	Pristine_vs_Restored	Sample_Control	Replicate	Volume_filtered
T2.14.S45.L001	VP-04-03	T2_VP-04-03	EP-07	EP-07	T2	No	Center	Restored	Sample	EP-07-A	180
T2.17.S48.L001	VP-05-01	T2_VP-05-01	EP-06	EP-06	T2	Sandiegensis	Edge	Restored	Sample	EP-06-A	300
T2.04.S35.L001	VP-05-02	T2_VP-05-02	EP-06	EP-06	T2	Sandiegensis	Middle	Restored	Sample	EP-06-A	300
T2.12.S43.L001	VP-05-03	T2_VP-05-03	EP-06	EP-06	T2	Sandiegensis	Center	Restored	Sample	EP-06-A	300
T2.20.S51.L001	VP-06-01	T2_VP-06-01	EP-05	EP-05	T2	Sandiegensis	Edge	Restored	Sample	EP-05-A	50
T2.25.S56.L001	VP-06-02	T2_VP-06-02	EP-05	EP-05	T2	Sandiegensis	Middle	Restored	Sample	EP-05-A	100
T2.24.S55.L001	VP-06-03	T2_VP-06-03	EP-05	EP-05	T2	Sandiegensis	Center	Restored	Sample	EP-05-A	50
T2.16.S47.L001	VP-07-01	T2_VP-07-01	EP-02	EP-02	T2	Sandiegensis	Edge	Restored	Sample	EP-02-A	50
T2.08.S39.L001	VP-07-02	T2_VP-07-02	EP-02	EP-02	T2	Sandiegensis	Middle	Restored	Sample	EP-02-A	100
T2.07.S38.L001	VP-07-03	T2_VP-07-03	EP-02	EP-02	T2	Sandiegensis	Center	Restored	Sample	EP-02-A	50
T2.18.S49.L001	VP-09-01	T2_VP-09-01	RJ-14	RJ-14	T2	Sandiegensis	Edge	Pristine	Sample	RJ-14-A	50
T2.11.S42.L001	VP-09-02	T2_VP-09-02	RJ-14	RJ-14	T2	Sandiegensis	Middle	Pristine	Sample	RJ-14-A	50
T2.22.S53.L001	VP-09-03	T2_VP-09-03	RJ-14	RJ-14	T2	Sandiegensis	Center	Pristine	Sample	RJ-14-A	50
T2.19.S50.L001	VP-09-04	T2_VP-09-04	RJ-14	RJ-14	T2	Sandiegensis	Middle	Pristine	Sample	RJ-14-B	50
T2.27.S58.L001	VP-09-05	T2_VP-09-05	RJ-14	RJ-14	T2	Sandiegensis	Middle	Pristine	Sample	RJ-14-B	50
T2.02.S33.L001	VP-09-06	T2_VP-09-06	RJ-14	RJ-14	T2	Sandiegensis	Middle	Pristine	Sample	RJ-14-B	50
T3.32.S91.L001	VP-10-01	T3_VP-10-01	VP_control	VP_control	T3	Lindahi	Middle	NA	Sample	VP_control	150
T3.26.S85.L001	VP-01-01	T3_VP-01-01	EP-17	EP-17	T3	No	Edge	Restored	Sample	EP-17-A	305
T3.23.S82.L001	VP-01-02	T3_VP-01-02	EP-17	EP-17	T3	No	Middle	Restored	Sample	EP-17-A	260
T3.06.S65.L001	VP-01-03	T3_VP-01-03	EP-17	EP-17	T3	No	Center	Restored	Sample	EP-17-A	250
T3.09.S68.L001	VP-02-01	T3_VP-02-01	EP-13	EP-13	T3	No	Edge	Restored	Sample	EP-13-A	225
T3.13.S72.L001	VP-02-02	T3_VP-02-02	EP-13	EP-13	T3	No	Middle	Restored	Sample	EP-13-A	225
T3.28.S87.L001	VP-02-03	T3_VP-02-03	EP-13	EP-13	T3	No	Center	Restored	Sample	EP-13-A	205
T3.21.S80.L001	VP-03-01	T3_VP-03-01	EP-12	EP-12	T3	No	Edge	Restored	Sample	EP-12-A	200
T3.03.S62.L001	VP-03-02	T3_VP-03-02	EP-12	EP-12	T3	No	Middle	Restored	Sample	EP-12-A	230
T3.15.S74.L001	VP-03-03	T3_VP-03-03	EP-12	EP-12	T3	No	Center	Restored	Sample	EP-12-A	230
T3.05.S64.L001	VP-04-01	T3_VP-04-01	EP-07	EP-07	T3	No	Edge	Restored	Sample	EP-07-A	115
T3.10.S69.L001	VP-04-02	T3_VP-04-02	EP-07	EP-07	T3	No	Middle	Restored	Sample	EP-07-A	70
T3.14.S73.L001	VP-04-03	T3_VP-04-03	EP-07	EP-07	T3	No	Center	Restored	Sample	EP-07-A	65
T3.17.S76.L001	VP-05-01	T3_VP-05-01	EP-06	EP-06	T3	Sandiegensis	Edge	Restored	Sample	EP-06-A	160
T3.04.S63.L001	VP-05-02	T3_VP-05-02	EP-06	EP-06	T3	Sandiegensis	Middle	Restored	Sample	EP-06-A	160
T3.12.S71.L001	VP-05-03	T3_VP-05-03	EP-06	EP-06	T3	Sandiegensis	Center	Restored	Sample	EP-06-A	140
T3.20.S79.L001	VP-06-01	T3_VP-06-01	EP-05	EP-05	T3	No	Edge	Restored	Sample	EP-05-A	125
T3.25.S84.L001	VP-06-02	T3_VP-06-02	EP-05	EP-05	T3	No	Middle	Restored	Sample	EP-05-A	105
T3.24.S83.L001	VP-06-03	T3_VP-06-03	EP-05	EP-05	T3	No	Center	Restored	Sample	EP-05-A	100
T3.16.S75.L001	VP-07-01	T3_VP-07-01	EP-02	EP-02	T3	No	Edge	Restored	Sample	EP-02-A	150
T3.08.S67.L001	VP-07-02	T3_VP-07-02	EP-02	EP-02	T3	No	Middle	Restored	Sample	EP-02-A	125
T3.07.S66.L001	VP-07-03	T3_VP-07-03	EP-02	EP-02	T3	No	Center	Restored	Sample	EP-02-A	170
T3.29.S88.L001	VP-08-01	T3_VP-08-01	EP-20	EP-20	T3	Sandiegensis	Edge	Restored	Sample	EP-20-A	50
T3.30.S89.L001	VP-08-02	T3_VP-08-02	EP-21	EP-20	T3	Sandiegensis	Middle	Restored	Sample	EP-20-A	60
T3.31.S90.L001	VP-08-03	T3_VP-08-03	EP-22	EP-20	T3	Sandiegensis	Center	Restored	Sample	EP-20-A	50
T3.18.S77.L001	VP-09-01	T3_VP-09-01	RJ-14	RJ-14	T3	No	Edge	Pristine	Sample	RJ-14-A	140
T3.11.S70.L001	VP-09-02	T3_VP-09-02	RJ-14	RJ-14	T3	No	Middle	Pristine	Sample	RJ-14-A	125
T3.22.S81.L001	VP-09-03	T3_VP-09-03	RJ-14	RJ-14	T3	No	Center	Pristine	Sample	RJ-14-A	150
T3.19.S78.L001	VP-09-04	T3_VP-09-04	RJ-14	RJ-14	T3	No	Middle	Pristine	Sample	RJ-14-B	150
T3.27.S86.L001	VP-09-05	T3_VP-09-05	RJ-14	RJ-14	T3	No	Middle	Pristine	Sample	RJ-14-B	140
T3.02.S61.L001	VP-09-06	T3_VP-09-06	RJ-14	RJ-14	T3	No	Middle	Pristine	Sample	RJ-14-B	125
